study_id,hypothesis_id,seed,arm,primary_metric,primary_value,run_valid
3,H22,3000,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3001,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3002,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3003,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3004,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3005,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3006,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3007,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3008,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3009,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3010,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3011,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3012,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3013,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3014,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3015,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3016,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3017,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3018,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3019,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3020,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3021,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3022,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3023,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3024,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3025,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3026,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3027,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3028,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3029,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3030,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3031,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3032,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3033,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3034,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3035,QBFT,negative_conflicting_finality,-0.0,True
3,H22,3036,QBFT,negative_conflicting_finality,-0.0,True
